"","Date mutation","Nature mutation","Valeur fonciere","No voie","B/T/Q","Type de voie","Code voie","Voie","Code postal","Commune","Prefixe de section","Section","No plan","Code type local","Type local","Surface reelle bati","Nombre pieces principales","Nature culture","Nature culture speciale","Surface terrain"
"1","06/01/2020","Vente",12450000,18,NA,"AV","6550","TEISSEIRE",38100,"GRENOBLE",NA,"DZ",68,2,"Appartement",66,3,NA,NA,NA
"2","03/01/2020","Vente",17500000,11,NA,"RUE","0975","VICTOR HUGO",38320,"EYBENS",NA,"AM",17,2,"Appartement",89,5,NA,NA,NA
"3","03/01/2020","Vente",33200000,4,NA,"PL","1010","BIR HAKEIM",38000,"GRENOBLE",NA,"BY",31,2,"Appartement",95,3,NA,NA,NA
"4","03/01/2020","Vente",9800000,5,NA,"SQ","0835","LE PERIER",38400,"SAINT-MARTIN-D'HERES",NA,"AE",321,2,"Appartement",57,3,NA,NA,NA
"5","09/01/2020","Vente",24100000,1,NA,"RUE","3130","GAL MARCHAND",38000,"GRENOBLE",NA,"BZ",57,2,"Appartement",59,3,NA,NA,NA
"6","06/01/2020","Vente",7e+06,124,NA,"RUE","6430","DE STALINGRAD",38100,"GRENOBLE",NA,"EO",84,2,"Appartement",55,3,NA,NA,NA
"7","06/01/2020","Vente",17295000,10,NA,"RUE","2480","ELISEE CHATIN",38100,"GRENOBLE",NA,"DM",10,2,"Appartement",73,3,NA,NA,NA
"8","07/01/2020","Vente",8075000,22,NA,"CHE","3940","JESUS",38000,"GRENOBLE",NA,"CI",158,2,"Appartement",19,0,NA,NA,NA
"9","09/01/2020","Vente",54740000,5781,NA,NA,"B055","PRATEL",38330,"SAINT-ISMIER",NA,"AI",251,1,"Maison",189,6,"S",NA,773
"10","07/01/2020","Vente",6600000,44,NA,"RUE","0640","DE MALFANGEAT",38400,"SAINT-MARTIN-D'HERES",NA,"AX",171,2,"Appartement",61,4,NA,NA,NA
"11","09/01/2020","Vente",6300000,54,NA,"RUE","0640","DE MALFANGEAT",38400,"SAINT-MARTIN-D'HERES",NA,"AX",171,2,"Appartement",51,3,NA,NA,NA
"12","06/01/2020","Vente",20400000,2,NA,"RUE","0082","SIMONE DE BEAUVOIR",38400,"SAINT-MARTIN-D'HERES",NA,"BH",333,2,"Appartement",81,4,NA,NA,NA
"13","08/01/2020","Vente",14952000,15,NA,"RUE","0420","AMPERE",38000,"GRENOBLE",NA,"IO",14,2,"Appartement",67,4,NA,NA,NA
"14","03/01/2020","Vente",6840000,8,NA,"RUE","0725","MODIGLIANI",38400,"SAINT-MARTIN-D'HERES",NA,"AX",171,2,"Appartement",51,3,NA,NA,NA
"15","06/01/2020","Vente",33500000,464,NA,"RTE","0650","DE MOLLARD GIROUD",38700,"LE SAPPEY-EN-CHARTREUSE",NA,"AD",380,2,"Appartement",35,1,"S",NA,585
"16","06/01/2020","Vente",33500000,464,NA,"RTE","0650","DE MOLLARD GIROUD",38700,"LE SAPPEY-EN-CHARTREUSE",NA,"AD",380,2,"Appartement",115,4,"S",NA,585
"17","06/01/2020","Vente",9e+06,8,NA,"RUE","1020","VICTOR HUGO",38400,"SAINT-MARTIN-D'HERES",NA,"AY",525,1,"Maison",102,5,NA,NA,NA
"18","10/01/2020","Vente",8e+06,23,NA,"AV","3880","JEAN PERROT",38100,"GRENOBLE",NA,"DE",56,2,"Appartement",48,3,NA,NA,NA
"19","03/01/2020","Vente",23691500,25,NA,"AV","4526","DOYEN LOUIS WEIL",38000,"GRENOBLE",NA,"AI",223,4,"Local industriel. commercial ou assimil<e9>",10,0,NA,NA,NA
"20","03/01/2020","Vente",23691500,25,NA,"AV","4526","DOYEN LOUIS WEIL",38000,"GRENOBLE",NA,"AI",223,4,"Local industriel. commercial ou assimil<e9>",48,0,NA,NA,NA
"21","08/01/2020","Vente",17900000,28,NA,"RUE","0420","AMPERE",38000,"GRENOBLE",NA,"IW",5,2,"Appartement",72,3,NA,NA,NA
"22","10/01/2020","Vente",27650000,8,NA,"RUE","0352","BARUCH SPINOZA",38320,"EYBENS",NA,"AW",204,2,"Appartement",79,4,NA,NA,NA
"23","03/01/2020","Vente",15100000,2,NA,"RUE","0205","COMMANDANT KOMAROV",38400,"SAINT-MARTIN-D'HERES",NA,"AV",55,2,"Appartement",83,5,NA,NA,NA
"24","09/01/2020","Vente",21500000,23,NA,"GR","0460","GRANDE RUE",38610,"GIERES",NA,"AN",178,4,"Local industriel. commercial ou assimil<e9>",75,0,"S",NA,113
"25","09/01/2020","Vente",21500000,23,NA,"GR","0460","GRANDE RUE",38610,"GIERES",NA,"AN",178,1,"Maison",147,6,"S",NA,113
"26","10/01/2020","Vente",45187000,17,NA,"ALL","0200","DES CERISIERS",38240,"MEYLAN",NA,"AL",136,1,"Maison",80,4,"S",NA,358
"27","08/01/2020","Vente",7500000,30,NA,"RUE","2150","DU DOCTEUR CALMETTE",38000,"GRENOBLE",NA,"IV",224,4,"Local industriel. commercial ou assimil<e9>",35,0,NA,NA,NA
"28","09/01/2020","Vente",7100000,3,NA,"IMP","0655","AUGUSTE DAVIN",38100,"GRENOBLE",NA,"DT",76,2,"Appartement",33,2,NA,NA,NA
"29","10/01/2020","Vente",9200000,57,NA,"RUE","3430","GUYNEMER",38100,"GRENOBLE",NA,"HS",3,2,"Appartement",63,4,NA,NA,NA
"30","17/01/2020","Vente",1e+07,32,NA,"RUE","0837","PIERRE BROSSOLETTE",38400,"SAINT-MARTIN-D'HERES",NA,"AE",328,2,"Appartement",54,2,NA,NA,NA
"31","10/01/2020","Vente",2.1e+07,53,NA,"AV","4526","DOYEN LOUIS WEIL",38000,"GRENOBLE",NA,"AI",186,2,"Appartement",44,2,NA,NA,NA
"32","10/01/2020","Vente",2.1e+07,2,NA,"RUE","3410","GUY DE MAUPASSANT",38100,"GRENOBLE",NA,"EY",24,2,"Appartement",34,1,NA,NA,NA
"33","07/01/2020","Vente",7600000,2,NA,"RUE","3230","GERIN",38000,"GRENOBLE",NA,"IK",35,2,"Appartement",33,1,NA,NA,NA
"34","13/01/2020","Vente",28316000,11,NA,"GR","0460","GRANDE RUE",38610,"GIERES",NA,"AN",670,2,"Appartement",89,4,NA,NA,NA
"35","06/01/2020","Vente",15330000,3,NA,"AV","6740","DE VALMY",38100,"GRENOBLE",NA,"CX",123,2,"Appartement",62,3,NA,NA,NA
"36","07/01/2020","Vente",7800000,46,NA,"BD","4800","MAL FOCH",38000,"GRENOBLE",NA,"DI",68,2,"Appartement",41,1,NA,NA,NA
"37","06/01/2020","Vente",7800000,1,NA,"RUE","0291","FRANZ LISZT",38400,"SAINT-MARTIN-D'HERES",NA,"BE",293,2,"Appartement",61,4,NA,NA,NA
"38","10/01/2020","Vente",40500000,707,NA,"CHE","0450","DE TARTAIX",38330,"MONTBONNOT-SAINT-MARTIN",NA,"AE",420,1,"Maison",128,5,"S",NA,762
"39","07/01/2020","Vente",1.4e+07,16,NA,"AV","6035","RHIN ET DANUBE",38100,"GRENOBLE",NA,"HT",1,2,"Appartement",80,4,NA,NA,NA
"40","10/01/2020","Vente",44750000,7,NA,"ALL","0367","DES FRENES",38240,"MEYLAN",NA,"AV",157,2,"Appartement",108,5,NA,NA,NA
"41","13/01/2020","Vente",26250000,7,NA,"AV","0780","DU VERCORS",38240,"MEYLAN",NA,"AR",86,2,"Appartement",97,5,NA,NA,NA
"42","10/01/2020","Vente",12500000,2,"B","RUE","0285","DU MAQUIS DE L OISA",38610,"GIERES",NA,"AL",115,2,"Appartement",49,3,NA,NA,NA
"43","16/01/2020","Vente",14410000,95,NA,"CRS","0950","BERRIAT",38000,"GRENOBLE",NA,"IK",13,2,"Appartement",58,3,NA,NA,NA
"44","07/01/2020","Vente",12350000,35,NA,"AV","6910","DE VIZILLE",38000,"GRENOBLE",NA,"IK",148,2,"Appartement",48,2,NA,NA,NA
"45","17/01/2020","Vente",26500000,8,NA,"ALL","0252","DE PAMPRE",38330,"SAINT-ISMIER",NA,"AV",69,2,"Appartement",65,3,NA,NA,NA
"46","02/01/2020","Vente",14950000,48,NA,"BD","4800","MAL FOCH",38000,"GRENOBLE",NA,"DI",69,2,"Appartement",77,4,NA,NA,NA
"47","15/01/2020","Vente",9600000,1,NA,"CHE","2600","DES ESSARTS",38100,"GRENOBLE",NA,"EZ",112,2,"Appartement",51,2,NA,NA,NA
"48","14/01/2020","Vente",18150000,14,NA,"RUE","0611","DES JAVAUX",38320,"EYBENS",NA,"AL",341,1,"Maison",68,4,"S",NA,239
"49","07/01/2020","Vente",19640000,77,"B","CRS","3820","JEAN JAURES",38000,"GRENOBLE",NA,"CN",69,2,"Appartement",68,3,NA,NA,NA
"50","15/01/2020","Vente",72170000,138,"B","CHEM","0093","DE LA FRENAIE",38610,"VENON",NA,"AA",225,1,"Maison",146,5,"S",NA,839
"51","17/01/2020","Vente",9880000,46,NA,"RUE","3090","GAL FERRIE",38100,"GRENOBLE",NA,"DM",65,2,"Appartement",57,3,NA,NA,NA
"52","07/01/2020","Vente",27760000,75,NA,"RUE","1020","BIZANET",38000,"GRENOBLE",NA,"AZ",2,2,"Appartement",74,3,NA,NA,NA
"53","17/01/2020","Vente",22337000,28,"C","AV","0880","DE LA REPUBLIQUE",38320,"EYBENS",NA,"AS",48,2,"Appartement",67,3,NA,NA,NA
"54","09/01/2020","Vente",14915000,54,NA,"CRS","0950","BERRIAT",38000,"GRENOBLE",NA,"BM",127,2,"Appartement",77,3,NA,NA,NA
"55","09/01/2020","Vente",12500000,3,NA,"RUE","0291","FRANZ LISZT",38400,"SAINT-MARTIN-D'HERES",NA,"BE",293,2,"Appartement",61,4,NA,NA,NA
"56","17/01/2020","Vente",1.2e+07,6,NA,"RUE","5210","MOZART",38000,"GRENOBLE",NA,"IP",47,2,"Appartement",67,4,NA,NA,NA
"57","17/01/2020","Vente",21500000,3,NA,"RUE","0235","DU 19 MARS 1962",38400,"SAINT-MARTIN-D'HERES",NA,"AM",179,2,"Appartement",105,5,NA,NA,NA
"58","08/01/2020","Vente",13500000,21,NA,"RUE","6450","STATION PONSARD",38100,"GRENOBLE",NA,"DS",11,2,"Appartement",81,5,NA,NA,NA
"59","08/01/2020","Vente",40500000,25,NA,"RUE","0200","DE LA LIBERATION",38610,"GIERES",NA,"AL",23,1,"Maison",120,6,"S",NA,444
"60","09/01/2020","Vente",3.7e+07,63,NA,"CHEM","0014","DE CONVALIERE",38320,"HERBEYS",NA,"AY",94,1,"Maison",50,2,NA,NA,NA
"61","09/01/2020","Vente",3.7e+07,63,NA,"CHEM","0014","DE CONVALIERE",38320,"HERBEYS",NA,"AY",94,1,"Maison",107,5,NA,NA,NA
"62","10/01/2020","Vente",6600000,37,NA,"AV","6910","DE VIZILLE",38000,"GRENOBLE",NA,"IK",148,2,"Appartement",18,1,NA,NA,NA
"63","10/01/2020","Vente",19200000,10,NA,"RUE","4528","LOUISE DREVET",38000,"GRENOBLE",NA,"IR",4,2,"Appartement",75,4,NA,NA,NA
"64","06/01/2020","Vente",12140000,44,NA,"AV","0273","DU 8 MAI 1945",38130,"ECHIROLLES",NA,"AL",513,2,"Appartement",50,2,NA,NA,NA
"65","08/01/2020","Vente",16700000,891,NA,"AV","3942","DES JEUX OLYMPIQUES",38100,"GRENOBLE",NA,"EH",86,2,"Appartement",89,4,NA,NA,NA
"66","06/01/2020","Vente",9975000,42,NA,"CRS","3820","JEAN JAURES",38000,"GRENOBLE",NA,"BM",96,2,"Appartement",31,2,NA,NA,NA
"67","07/01/2020","Vente",10700000,18,NA,"CRS","4380","LIBERATION - GEN DE GAULLE",38100,"GRENOBLE",NA,"HV",18,2,"Appartement",61,3,NA,NA,NA
"68","06/01/2020","Vente",7e+06,2,NA,"RUE","0372","GUILLAUME APOLLINAIRE",38400,"SAINT-MARTIN-D'HERES",NA,"AB",217,2,"Appartement",18,1,NA,NA,NA
"69","08/01/2020","Vente",12093000,9,NA,"RUE","0044","ANNE FRANK",38400,"SAINT-MARTIN-D'HERES",NA,"BH",292,2,"Appartement",47,2,NA,NA,NA
